include,part,function_name,order,required,argument,argument_list,default,ui,choices,range,validation,validation_args,transformation,transformation_args,design_changes,description,note
TRUE,ui,dateRangeInput,5,,min,,NULL,textInput,,,.validate_date,,.to_string,,,"The minimum allowed date. Either a Date object, or a string in yyyy-mm-dd format.",
TRUE,ui,dateRangeInput,6,,max,,NULL,textInput,,,.validate_date,,.to_string,,,"The maximum allowed date. Either a Date object, or a string in yyyy-mm-dd format.",
TRUE,ui,dateRangeInput,7,,format,,yyyy-mm-dd,textInput,,,,,.to_string,,,The format of the date to display in the browser. Defaults to yyyy-mm-dd.,
TRUE,ui,dateRangeInput,8,,startview,,month,selectInput,startview,,,,.to_string,,,"The date range shown when the input object is first clicked. Can be month (the default), year, or decade.",
TRUE,ui,dateRangeInput,9,,weekstart,,0,selectInput,weekstart,,,,,,,Which day is the start of the week. Should be an integer from 0 (Sunday) to 6 (Saturday).,
TRUE,ui,dateRangeInput,10,,language,,en,pickerInput,language,,,,.to_string,,,"The language used for month and day names. Default is en. Other valid values include ar, az, bg, bs, ca, cs, cy, da, de, el, en-AU, en-GB, eo, es, et, eu, fa, fi, fo, fr-CH, fr, gl, he, hr, hu, hy, id, is, it-CH, it, ja, ka, kh, kk, ko, kr, lt, lv, me, mk, mn, ms, nb, nl-BE, nl, no, pl, pt-BR, pt, ro, rs-latin, rs, ru, sk, sl, sq, sr-latin, sr, sv, sw, th, tr, uk, vi, zh-CN, and zh-TW.",
TRUE,ui,dateRangeInput,11,,separator,, to ,textInput,,,,,.to_string,,,String to display between the start and end input boxes.,
TRUE,ui,dateRangeInput,12,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit,"The width of the input, e.g. 400px, or 100%; see validateCssUnit().",
TRUE,ui,dateRangeInput,13,,autoclose,,TRUE,checkboxInput,,,,,,,,Whether or not to close the datepicker immediately when a date is selected.,
TRUE,ui,downloadBttn,1,TRUE,outputId,,NULL,textInput,,,.validate_outputId,,.to_string,,,The name of the output slot that the downloadHandler is assigned to.,
TRUE,ui,downloadBttn,2,,label,,Download,textInput,,,,,.to_string,,,The label that should appear on the button.,
TRUE,ui,downloadBttn,3,,style,,unite,selectInput,styles,,,,.to_string,,,"Style of the button, to choose between simple, bordered, minimal, stretch, jelly, gradient, fill, material-circle, material-flat, pill, float, unite.",
TRUE,ui,downloadBttn,4,,color,,primary,selectInput,colors,,,,.to_string,,,"Color of the button : default, primary, warning, danger, success, royal.",
TRUE,ui,downloadBttn,5,,size,,md,selectInput,bs_sizes,,,,.to_string,,,"Size of the button : xs,sm, md, lg.",
TRUE,ui,downloadBttn,6,,block,,FALSE,checkboxInput,,,,,,,bttn_block,"Logical, full width button.",
TRUE,ui,downloadBttn,7,,no_outline,,TRUE,checkboxInput,,,,,,,,"Logical, dont show outline when navigating with keyboard/interact using mouse or touch.",
TRUE,ui,downloadButton,1,TRUE,outputId,,,textInput,,,.validate_outputId,,.to_string,,,The name of the output slot that the downloadHandler is assigned to.,
TRUE,ui,downloadButton,2,,label,,Download,textInput,,,,,.to_string,,,The label that should appear on the button.,
FALSE,ui,downloadButton,3,,class,,NULL,textInput,,,,,.to_string,,,"Additional CSS classes to apply to the tag, if any.",
TRUE,ui,downloadButton,4,,icon,,download,pickerInput,icons,,,,.to_icon,,,An icon() to appear on the button. Default is icon(download).,
FALSE,ui,downloadButton,5,,,,,,,,,,,,,Other arguments to pass to the container tag function.,
FALSE,server,downloadHandler,1,TRUE,filename,,,,,,,,,,,"A string of the filename, including extension, that the users web browser should default to when downloading the file; or a function that returns such a string. (Reactive values and functions may be used from this function.)",
FALSE,server,downloadHandler,2,TRUE,content,,,,,,,,,,,"A function that takes a single argument file that is a file path (string) of a nonexistent temp file, and writes the content to that file path. (Reactive values and functions may be used from this function.)",
FALSE,server,downloadHandler,3,,contentType,,,,,,,,,,,"A string of the downloads content type, for example text/csv or image/png. If NULL or NA, the content type will be guessed based on the filename extension, or application/octet-stream if the extension is unknown.",
FALSE,server,downloadHandler,4,,outputArgs,,list(),,,,,,,,,A list of arguments to be passed through to the implicit call to downloadButton() when downloadHandler is used in an interactive R Markdown document.,
TRUE,ui,downloadLink,1,TRUE,outputId,,,textInput,,,.validate_outputId,,.to_string,,,The name of the output slot that the downloadHandler is assigned to.,
TRUE,ui,downloadLink,2,,label,,Download,textInput,,,,,.to_string,,,The label that should appear on the button.,
FALSE,ui,downloadLink,3,,class,,,textInput,,,,,.to_string,,,"Additional CSS classes to apply to the tag, if any.",
FALSE,ui,downloadLink,4,,,,,,,,,,,,,,
TRUE,ui,dropdown,1,,style,,default,selectInput,styles,,,,.to_string,,,"Character. if default use Bootstrap button (like an actionButton), else use an actionBttn, see argument style (in actionBttn documentation) for possible values.",
TRUE,ui,dropdown,2,,status,,default,selectInput,colors,,,,.to_string,,,"Add a class to the buttons, you can use Bootstrap status like info, primary, danger, warning or success. Or use an arbitrary strings to add a custom class, e.g. : with status = myClass, buttons will have class btn-myClass.",
TRUE,ui,dropdown,3,,size,,md,selectInput,bs_sizes,,,,.to_string,,,"Size of the button : default, lg, sm, xs.",
TRUE,ui,dropdown,4,,icon,,NULL,pickerInput,icons,,,,.to_icon,,,An icon to appear on the button.,
TRUE,ui,dropdown,5,,label,,label,textInput,,,,,.to_string,,,"Label to appear on the button. If circle = TRUE and tooltip = TRUE, label is used in tooltip.",
TRUE,ui,dropdown,6,,tooltip,,FALSE,checkboxInput,,,,,,,,"Put a tooltip on the button, you can customize tooltip with tooltipOptions.",
TRUE,ui,dropdown,7,,right,,FALSE,checkboxInput,,,,,,,,Logical. The dropdown menu starts on the right.,
TRUE,ui,dropdown,8,,up,,FALSE,checkboxInput,,,,,,,,Logical. Display the dropdown menu above.,
TRUE,ui,dropdown,9,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit,Width of the dropdown menu content.,
TRUE,ui,dropdown,10,,animate,,FALSE,checkboxInput,,,,,,,,"Add animation on the dropdown, can be logical or result of animateOptions.",
TRUE,ui,dropdown,11,,inputId,,NULL,textInput,,,.validate_inputId,list(allow_NULL=TRUE),.to_string,list(regex='id'),,"Optional, id for the button, the button act like an actionButton, and you can use the id to toggle the dropdown menu server-side.",
FALSE,ui,dropdown,12,,,,,,,,,,,,,List of tag to be displayed into the dropdown menu.,
TRUE,ui,dropdownButton,1,,inputId,,NULL,textInput,,,.validate_inputId,list(allow_NULL=TRUE),.to_string,list(regex='id'),,"Optional, id for the button, the button act like an actionButton, and you can use the id to toggle the dropdown menu server-side with toggleDropdownButton.",
TRUE,ui,dropdownButton,2,,circle,,TRUE,checkboxInput,,,,,,,,Logical. Use a circle button,
TRUE,ui,dropdownButton,3,,status,,default,selectInput,validStatuses_2,,,,.to_string,,,"Add a class to the buttons, you can use Bootstrap status like info, primary, danger, warning or success. Or use an arbitrary strings to add a custom class, e.g. : with status = myClass, buttons will have class btn-myClass.",
TRUE,ui,dropdownButton,4,,size,,default,selectInput,sw_sizes_2,,,,.to_string,,,"Size of the button : default, lg, sm, xs.",
TRUE,ui,dropdownButton,5,,icon,,NULL,pickerInput,icons,,,,.to_icon,,,An icon to appear on the button.,
TRUE,ui,dropdownButton,6,,label,,NULL,textInput,,,,,.to_string,,,"Label to appear on the button. If circle = TRUE and tooltip = TRUE, label is used in tooltip.",
TRUE,ui,dropdownButton,7,,tooltip,,FALSE,checkboxInput,,,,,,,,"Put a tooltip on the button, you can customize tooltip with tooltipOptions.",
TRUE,ui,dropdownButton,8,,right,,FALSE,checkboxInput,,,,,,,,Logical. The dropdown menu starts on the right.,
TRUE,ui,dropdownButton,9,,up,,FALSE,checkboxInput,,,,,,,,Logical. Display the dropdown menu above.,
TRUE,ui,dropdownButton,10,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,Width of the dropdown menu content.,
TRUE,ui,dropdownButton,11,,margin,,10px,textInput,,,.validate_css_unit,,.to_css_unit,,,Value of the dropdown margin-right and margin-left menu content.,
TRUE,ui,dropdownButton,12,,inline,,FALSE,checkboxInput,,,,,,,,use an inline (span()) or block container (div()) for the output.,
FALSE,ui,dropdownButton,13,,,,,,,,,,,,,List of tag to be displayed into the dropdown menu.,
TRUE,ui,dropdownMenu,1,,type,,messages,selectInput,dropdownMenu_type,,,,.to_string,,,"The type of menu. Should be one of messages, notifications, tasks.",
TRUE,ui,dropdownMenu,2,,badgeStatus,,primary,selectInput,validStatuses,,,,.to_string,,,The status of the badge which displays the number of items in the menu. This determines the badges color. Valid statuses are listed in validStatuses. A value of NULL means to not display a badge.,
TRUE,ui,dropdownMenu,3,,icon,,NULL,pickerInput,icons,,,,.to_icon,,,"An icon to display in the header. By default, the icon is automatically selected depending on type, but it can be overriden with this argument.",
TRUE,ui,dropdownMenu,4,,headerText,,NULL,textInput,,,,,.to_string,,,"An optional text argument used for the header of the dropdown menu (this is only visible when the menu is expanded). If none is provided by the user, the default is You have x messages, where x is the number of items in the menu (if the type is specified to be notifications or tasks, the default text shows You have x notifications or You have x tasks, respectively).",
FALSE,ui,dropdownMenu,5,,.list,,NULL,,,,,,,,,"An optional list containing items to put in the menu Same as the ... arguments, but in list format. This can be useful when working with programmatically generated items.",
FALSE,ui,dropdownMenu,6,,,,,,,,,,,,,"Items to put in the menu. Typically, message menus should contain messageItems, notification menus should contain notificationItems, and task menus should contain taskItems.",
TRUE,ui,dropMenu,1,TRUE,tag,,,,,,,,,,,An HTML tag to which attach the menu.,
TRUE,ui,dropMenu,2,,padding,,5px,textInput,,,,,.to_string,,,Amount of padding to apply. Can be numeric (in pixels) or character (e.g. 3em).,
TRUE,ui,dropMenu,3,,placement,,bottom,selectInput,placement,,,,.to_string,,,Positions of the menu relative to its reference element (tag).,
FALSE,ui,dropMenu,4,,trigger,,click,selectInput,trigger,,,,.to_string,,,The event(s) which cause the menu to show.,
TRUE,ui,dropMenu,5,,arrow,,TRUE,checkboxInput,,,,,,,,Determines if the menu has an arrow.,
TRUE,ui,dropMenu,6,,theme,,light,selectInput,drop_themes,,,,.to_string,,,CSS theme to use.,
TRUE,ui,dropMenu,7,,hideOnClick,,TRUE,checkboxInput,,,,,,,,Determines if the menu should hide if a mousedown event was fired outside of it (i.e. clicking on the reference element or the body of the page).,
TRUE,ui,dropMenu,8,,maxWidth,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit,Determines the maximum width of the menu.,
FALSE,ui,dropMenu,9,,options,,NULL,,,,,,,,,"Additional options, see dropMenuOptions.",
FALSE,ui,dropMenu,10,,,,,,,,,,,,,UI elements to be displayed in the menu.,
TRUE,ui,fileInput,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,fileInput,2,TRUE,label,,label,textInput,,,,,.to_string,,,"Display label for the control, or NULL for no label.",
TRUE,ui,fileInput,3,,multiple,,FALSE,checkboxInput,,,,,,,,"Whether the user should be allowed to select and upload multiple files at once. Does not work on older browsers, including Internet Explorer 9 and earlier.",
TRUE,ui,fileInput,4,,accept,,NULL,selectizeInput,accept,,,,.to_string_vector,list(with_NULL=TRUE),,"<p>A character vector of unique file type specifiers which gives the browser a hint as to the type of file the server expects. Many browsers use this prevent the user from selecting an invalid file.</p><p>A unique file type specifier can be:<ul><li>A case insensitive extension like .csv or .rds.</li><li>A valid MIME type, like text/plain or application/pdf</li><li>One of audio/*, video/*, or image/* meaning any audio, video, or image type, respectively.</li></ul></p>",
TRUE,ui,fileInput,5,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit,"The width of the input, e.g. 400px, or 100%; see validateCssUnit().",
TRUE,ui,fileInput,6,,buttonLabel,,Browse...,textInput,,,,,.to_string,,,The label used on the button. Can be text or an HTML tag object.,
TRUE,ui,fileInput,7,,placeholder,,No file selected,textInput,,,,,.to_string,,,The text to show before a file has been uploaded.,
TRUE,ui,fillCol,1,,flex,,1,selectizeInput,,,,,,,,"Determines how space should be distributed to the cells. Can be a single value like 1 or 2 to evenly distribute the available space; or use a vector of numbers to specify the proportions. For example, flex = c(2, 3) would cause the space to be split 40%/60% between two cells. NA values will cause the corresponding cell to be sized according to its contents (without growing or shrinking).",
TRUE,ui,fillCol,2,,width,,100%,textInput,,,.validate_css_unit,,.to_css_unit,,,"The total amount of width and height to use for the entire row/column. For the default height of 100% to be effective, the parent must be fillPage, another fillRow/fillCol, or some other HTML element whose height is not determined by the height of its contents.",
TRUE,ui,fillCol,3,,height,,100%,textInput,,,.validate_css_unit,,.to_css_unit,,,"The total amount of width and height to use for the entire row/column. For the default height of 100% to be effective, the parent must be fillPage, another fillRow/fillCol, or some other HTML element whose height is not determined by the height of its contents.",
FALSE,ui,fillCol,4,,,,,,,,,,,,,"UI objects to put in each row/column cell; each argument will occupy a single cell. (To put multiple items in a single cell, you can use tagList() or div() to combine them.) Named arguments will be used as attributes on the div element that encapsulates the row/column.",
TRUE,ui,fillPage,1,,padding,,0,textInput,,,,,.to_string,,,"Padding to use for the body. This can be a numeric vector (which will be interpreted as pixels) or a character vector with valid CSS lengths. The length can be between one and four. If one, then that value will be used for all four sides. If two, then the first value will be used for the top and bottom, while the second value will be used for left and right. If three, then the first will be used for top, the second will be left and right, and the third will be bottom. If four, then the values will be interpreted as top, right, bottom, and left respectively.",
TRUE,ui,fillPage,2,,title,,NULL,textInput,,,,,.to_string,,,The title to use for the browser window/tab (it will not be shown in the document).,
FALSE,ui,fillPage,3,,bootstrap,,TRUE,checkboxInput,,,,,,,,"If TRUE, load the Bootstrap CSS library.",
FALSE,ui,fillPage,4,,theme,,NULL,textInput,,,,,.to_string,,,URL to alternative Bootstrap stylesheet.,
FALSE,ui,fillPage,5,,,,,,,,,,,,,Elements to include within the page.,
TRUE,ui,fillRow,1,,flex,,1,selectizeInput,,,,,,,,"Determines how space should be distributed to the cells. Can be a single value like 1 or 2 to evenly distribute the available space; or use a vector of numbers to specify the proportions. For example, flex = c(2, 3) would cause the space to be split 40%/60% between two cells. NA values will cause the corresponding cell to be sized according to its contents (without growing or shrinking).",
TRUE,ui,fillRow,2,,width,,100%,textInput,,,.validate_css_unit,,.to_css_unit,,,"The total amount of width and height to use for the entire row/column. For the default height of 100% to be effective, the parent must be fillPage, another fillRow/fillCol, or some other HTML element whose height is not determined by the height of its contents.",
TRUE,ui,fillRow,3,,height,,100%,textInput,,,.validate_css_unit,,.to_css_unit,,,"The total amount of width and height to use for the entire row/column. For the default height of 100% to be effective, the parent must be fillPage, another fillRow/fillCol, or some other HTML element whose height is not determined by the height of its contents.",
FALSE,ui,fillRow,4,,,,,,,,,,,,,"UI objects to put in each row/column cell; each argument will occupy a single cell. (To put multiple items in a single cell, you can use tagList() or div() to combine them.) Named arguments will be used as attributes on the div element that encapsulates the row/column.",
TRUE,ui,fixedPage,1,,title,,NULL,textInput,,,,,.to_string,,,The browser window title (defaults to the host URL of the page),
FALSE,ui,fixedPage,2,,responsive,,NULL,,,,,,,,,This option is deprecated; it is no longer optional with Bootstrap 3.,
FALSE,ui,fixedPage,3,,theme,,NULL,,,,,,,,,"Alternative Bootstrap stylesheet (normally a css file within the www directory). For example, to use the theme located at www/bootstrap.css you would use theme = bootstrap.css.",
FALSE,ui,fixedPage,4,,,,,,,,,,,,,Elements to include within the container,
,ui,fixedPanel,1,,top,,NULL,textInput,,,,,,,,"Distance between the top of the panel, and the top of the page or parent container.",
,ui,fixedPanel,2,,left,,NULL,textInput,,,,,,,,"Distance between the left side of the panel, and the left of the page or parent container.",
,ui,fixedPanel,3,,right,,NULL,textInput,,,,,,,,"Distance between the right side of the panel, and the right of the page or parent container.",
,ui,fixedPanel,4,,bottom,,NULL,textInput,,,,,,,,"Distance between the bottom of the panel, and the bottom of the page or parent container.",
,ui,fixedPanel,5,,width,,NULL,textInput,,,,,,,,Width of the panel.,
,ui,fixedPanel,6,,height,,NULL,textInput,,,,,,,,Height of the panel.,
FALSE,ui,fixedPanel,7,,draggable,,FALSE,checkboxInput,,,,,,,,"If TRUE, allows the user to move the panel by clicking and dragging.",
,ui,fixedPanel,9,,cursor,,auto,selectInput,cursor,,,,,,,"The type of cursor that should appear when the user mouses over the panel. Use move for a north-east-south-west icon, default for the usual cursor arrow, or inherit for the usual cursor behavior (including changing to an I-beam when the cursor is over text). The default is auto, which is equivalent to ifelse(draggable, move, inherit).",
FALSE,ui,fixedPanel,10,,,,,,,,,,,,,Attributes (named arguments) or children (unnamed arguments) that should be included in the panel.,
FALSE,ui,fixedRow,1,,,,,,,,,,,,,Elements to include within the container,
FALSE,ui,flowLayout,1,,cellArgs,,list(),,,,,,,,,Any additional attributes that should be used for each cell of the layout.,
FALSE,ui,flowLayout,2,,,,,,,,,,,,,Unnamed arguments will become child elements of the layout. Named arguments will become HTML attributes on the outermost tag.,
TRUE,ui,fluidPage,1,,title,,NULL,textInput,,,,,.to_string,,,The browser window title (defaults to the host URL of the page). Can also be set as a side effect of the titlePanel() function.,
FALSE,ui,fluidPage,2,,responsive,,NULL,,,,,,,,,This option is deprecated; it is no longer optional with Bootstrap 3.,
FALSE,ui,fluidPage,3,,theme,,NULL,,,,,,,,,"Alternative Bootstrap stylesheet (normally a css file within the www directory). For example, to use the theme located at www/bootstrap.css you would use theme = bootstrap.css.",
FALSE,ui,fluidPage,4,,,,,,,,,,,,,Elements to include within the page,
FALSE,ui,fluidRow,1,,,,,,,,,,,,,Elements to include within the row,
FALSE,ui,helpText,1,,,,,,,,,,,,,One or more help text strings (or other inline HTML elements),
TRUE,ui,htmlOutput,1,TRUE,outputId,,,textInput,,,.validate_outputId,,.to_string,,,output variable to read the value from,
TRUE,ui,htmlOutput,2,,inline,,FALSE,checkboxInput,,,,,,,,use an inline (span()) or block container (div()) for the output,
FALSE,ui,htmlOutput,3,,container,,if (inline) span else div,,,,,,,,,,
,ui,icon,1,TRUE,name,,NULL,,,,,,,,,Name of icon. Icons are drawn from the Font Awesome Free (currently icons from the v5.13.0 set are supported with the v4 naming convention) and Glyphicons libraries. Note that the fa- and glyphicon- prefixes should not be used in icon names (i.e. the fa-calendar icon should be referred to as calendar),
,ui,icon,2,,class,,NULL,,,,,,,,,Additional classes to customize the style of the icon (see the usage examples for details on supported styles).,
,ui,icon,3,,lib,,font-awesome,,,,,,,,,Icon library to use (font-awesome or glyphicon),
TRUE,ui,imageOutput,1,TRUE,outputId,,,textInput,,,.validate_outputId,,.to_string,,,output variable to read the plot/image from.,
TRUE,ui,imageOutput,2,,width,,100%,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit_top,"Image width/height. Must be a valid CSS unit (like 100%, 400px, auto) or a number, which will be coerced to a string and have px appended. These two arguments are ignored when inline = TRUE, in which case the width/height of a plot must be specified in renderPlot(). Note that, for height, using auto or 100% generally will not work as expected, because of how height is computed with HTML/CSS.",
TRUE,ui,imageOutput,3,,height,,400px,textInput,,,.validate_css_unit,,.to_css_unit,,,"Image width/height. Must be a valid CSS unit (like 100%, 400px, auto) or a number, which will be coerced to a string and have px appended. These two arguments are ignored when inline = TRUE, in which case the width/height of a plot must be specified in renderPlot(). Note that, for height, using auto or 100% generally will not work as expected, because of how height is computed with HTML/CSS.",
TRUE,ui,imageOutput,4,,click,,NULL,textInput,,,,,.to_string,,,"This can be NULL (the default), a string, or an object created by the clickOpts() function. If you use a value like plot_click (or equivalently, clickOpts(id=plot_click)), the plot will send coordinates to the server whenever it is clicked, and the value will be accessible via input$plot_click. The value will be a named list with x and y elements indicating the mouse position.",
TRUE,ui,imageOutput,5,,dblclick,,NULL,textInput,,,,,.to_string,,,"This is just like the click argument, but for double-click events.",
TRUE,ui,imageOutput,6,,hover,,NULL,textInput,,,,,.to_string,,,"Similar to the click argument, this can be NULL (the default), a string, or an object created by the hoverOpts() function. If you use a value like plot_hover (or equivalently, hoverOpts(id=plot_hover)), the plot will send coordinates to the server pauses on the plot, and the value will be accessible via input$plot_hover. The value will be a named list with x and y elements indicating the mouse position. To control the hover time or hover delay type, you must use hoverOpts().",
TRUE,ui,imageOutput,7,,brush,,NULL,textInput,,,,,.to_string,,,"Similar to the click argument, this can be NULL (the default), a string, or an object created by the brushOpts() function. If you use a value like plot_brush (or equivalently, brushOpts(id=plot_brush)), the plot will allow the user to brush in the plotting area, and will send information about the brushed area to the server, and the value will be accessible via input$plot_brush. Brushing means that the user will be able to draw a rectangle in the plotting area and drag it around. The value will be a named list with xmin, xmax, ymin, and ymax elements indicating the brush area. To control the brush behavior, use brushOpts(). Multiple imageOutput/plotOutput calls may share the same id value; brushing one image or plot will cause any other brushes with the same id to disappear.",
TRUE,ui,imageOutput,8,,inline,,FALSE,checkboxInput,,,,,,,,use an inline (span()) or block container (div()) for the output,
TRUE,ui,infoBox,1,TRUE,title,,title,textInput,,,,,.to_string,,,Title text.,
TRUE,ui,infoBox,2,,value,,NULL,textInput,,,,,.to_string,,,The value to display in the box. Usually a number or short text.,
TRUE,ui,infoBox,3,,subtitle,,NULL,textInput,,,,,.to_string,,,Subtitle text (optional).,
TRUE,ui,infoBox,4,,icon,,chart-bar,pickerInput,icons,,,,.to_icon,,,"An icon tag, created by icon.",
TRUE,ui,infoBox,5,,color,,aqua,selectInput,validColors,,,,.to_string,,,A color for the box. Valid colors are listed in validColors.,
TRUE,ui,infoBox,6,,width,,4,numericInput,,"1,12,1",.validate_numeric_range,,.to_numeric,,width_column,"The width of the box, using the Bootstrap grid system. This is used for row-based layouts. The overall width of a region is 12, so the default valueBox width of 4 occupies 1/3 of that width. For column-based layouts, use NULL for the width; the width is set by the column that contains the box.",
FALSE,ui,infoBox,7,,href,,NULL,textInput,,,,,.to_string,,,An optional URL to link to.,
TRUE,ui,infoBox,8,,fill,,FALSE,checkboxInput,,,,,,,,"If FALSE (the default), use a white background for the content, and the color argument for the background of the icon. If TRUE, use the color argument for the background of the content; the icon will use the same color with a slightly darkened background.",
FALSE,ui,inputPanel,1,,,,,,,,,,,,,Input controls or other HTML elements.,
TRUE,ui,knobInput,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,knobInput,2,TRUE,label,,label,textInput,,,,,.to_string,,,"Display label for the control, or NULL for no label.",
TRUE,ui,knobInput,3,TRUE,value,,50,numericInput,,,,,.to_numeric,,,Initial value.,
TRUE,ui,knobInput,4,,min,,0,numericInput,,,,,.to_numeric,,,"Minimum allowed value, default to 0.",
TRUE,ui,knobInput,5,,max,,100,numericInput,,,,,.to_numeric,,,"Maximum allowed value, default to 100.",
TRUE,ui,knobInput,6,,step,,1,numericInput,,,,,.to_numeric,,,"Specifies the interval between each selectable value, default to 1.",
TRUE,ui,knobInput,7,,angleOffset,,0,numericInput,,"0,360,1",.validate_numeric_range,,.to_numeric,,,"Starting angle in degrees, default to 0.",
TRUE,ui,knobInput,8,,angleArc,,360,numericInput,,"0,360,1",.validate_numeric_range,,.to_numeric,,,"Arc size in degrees, default to 360.",
TRUE,ui,knobInput,9,,cursor,,FALSE,checkboxInput,,,,,,,,"Display mode cursor, dont work properly if width is not set in pixel, (TRUE or FALSE).",
TRUE,ui,knobInput,10,,thickness,,0.4,numericInput,,"0,1,0.01",.validate_numeric_range,,.to_numeric,,,"Gauge thickness, numeric value.",
TRUE,ui,knobInput,11,,lineCap,,default,selectInput,lineCaps,,,,.to_string,,,"Gauge stroke endings, default or round.",
TRUE,ui,knobInput,12,,displayInput,,TRUE,checkboxInput,,,,,,,,Hide input in the middle of the knob (TRUE or FALSE).,
TRUE,ui,knobInput,13,,displayPrevious,,FALSE,checkboxInput,,,,,,,,Display the previous value with transparency (TRUE or FALSE).,
TRUE,ui,knobInput,14,,rotation,,clockwise,selectInput,rotations,,,,.to_string,,,"Direction of progression, clockwise or anticlockwise.",
TRUE,ui,knobInput,15,,fgColor,,#87CEEA,colorInput,,,,,.to_color_string,,,Foreground color.,
TRUE,ui,knobInput,16,,inputColor,,#87CEEA,colorInput,,,,,.to_color_string,,,Input value (number) color.,
TRUE,ui,knobInput,17,,bgColor,,#EEEEEE,colorInput,,,,,.to_color_string,,,Background color.,
TRUE,ui,knobInput,18,,pre,,NULL,textInput,,,,,.to_string,,,A prefix string to put in front of the value.,
TRUE,ui,knobInput,19,,post,,NULL,textInput,,,,,.to_string,,,A suffix string to put after the value.,
TRUE,ui,knobInput,20,,fontSize,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,"Font size, must be a valid CSS unit.",
TRUE,ui,knobInput,21,,readOnly,,FALSE,checkboxInput,,,,,,,,Disable knob (TRUE or FALSE).,
FALSE,ui,knobInput,22,,skin,,NULL,,,,,,,,,"Change Knob skin, only one option available : tron.",
TRUE,ui,knobInput,23,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,"The width and height of the input, e.g. 400px, or 100%. A value a pixel is recommended, otherwise the knob wont be able to initialize itself in some case (if hidden at start for example).",
TRUE,ui,knobInput,24,,height,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,,"The width and height of the input, e.g. 400px, or 100%. A value a pixel is recommended, otherwise the knob wont be able to initialize itself in some case (if hidden at start for example).",
TRUE,ui,knobInput,25,,immediate,,TRUE,checkboxInput,,,,,,,,"If TRUE (default), server-side value is updated each time value change, if FALSE value is updated when user release the widget.",
FALSE,ui,mainPanel,1,,,,,,,,,,,,,Output elements to include in the sidebar/main panel.,
TRUE,ui,mainPanel,2,,width,,8,numericInput,,"1,12,1",.validate_numeric_range,,.to_numeric,,width_column,"The width of the sidebar and main panel. By default, the sidebar takes up 1/3 of the width, and the main panel 2/3. The total width must be 12 or less.",
TRUE,ui,materialSwitch,1,TRUE,inputId,,,textInput,,,.validate_inputId,list(allow_NULL=FALSE),.to_string,list(regex='id'),,The input slot that will be used to access the value.,
TRUE,ui,materialSwitch,2,,label,,NULL,textInput,,,,,.to_string,,,Input label.,
TRUE,ui,materialSwitch,3,,value,,FALSE,checkboxInput,,,,,,,,TRUE or FALSE.,
TRUE,ui,materialSwitch,4,,status,,default,selectInput,validStatuses,,,,.to_string,,,"Color, must be a valid Bootstrap status : default, primary, info, success, warning, danger.",
TRUE,ui,materialSwitch,5,,right ,,FALSE,checkboxInput,,,,,,,,Should the the label be on the right? default to FALSE.,
TRUE,ui,materialSwitch,6,,inline,,FALSE,checkboxInput,,,,,,,,"Display the input inline, if you want to place buttons next to each other.",
TRUE,ui,materialSwitch,7,,width,,NULL,textInput,,,.validate_css_unit,,.to_css_unit,,width_css_unit_top,"The width of the input, e.g. 400px, or 100%.",
TRUE,ui,menuItem,1,,tabName,,NULL,textInput,,,,,.to_string,,,The name of a tab that this menu item will activate. Not compatible with href.,
TRUE,ui,menuItem,2,TRUE,text,,text,textInput,,,,,.to_string,,,Text to show for the menu item.,
TRUE,ui,menuItem,3,,icon,,NULL,pickerInput,icons,,,,.to_icon,,,"An icon tag, created by icon. If NULL, dont display an icon.",
TRUE,ui,menuItem,4,,badgeLabel,,NULL,textInput,,,.validate_badgeLabel,,.to_string,,,A label for an optional badge. Usually a number or a short word like new.,
TRUE,ui,menuItem,5,,badgeColor,,green,selectInput,validColors,,,,.to_string,,,A color for the badge. Valid colors are listed in validColors.,
FALSE,ui,menuItem,6,,href,,NULL,textInput,,,,,.to_string,,,An link address. Not compatible with tabName.,
FALSE,ui,menuItem,7,,newtab,,TRUE,checkboxInput,,,,,,,,"If href is supplied, should the link open in a new browser tab?",
FALSE,ui,menuItem,8,,selected,,FALSE,checkboxInput,,,,,,,,"If TRUE, this menuItem or menuSubItem will start selected. If no item have selected=TRUE, then the first menuItem will start selected.",
